**Grain ID, phi1, PHI, phi2
1	1	2	3
2	0	0	0.267949192431123
3	1	2	3
4	0.366025403784439	-0.366025403784439	0
5	1	2	3
6	1	2	3
7	1	2	3
8	1	2	3
9	1	2	3
10	-0.133974596215562	-0.500000000000000	-0.267949192431123
11	1	2	3
12	0.866025403784439	0.500000000000000	0.267949192431123
13	1	2	3
14	1	2	3
15	1	2	3
16	1	2	3
17	1	2	3
18	1	2	3
19	-0.133974596215562	-0.500000000000000	0
20	0.133974596215561	-0.500000000000000	-0.267949192431123
21	1	2	3
22	1	2	3
23	-0.366025403784439	0.366025403784439	0
24	0.366025403784439	-0.366025403784439	-0.267949192431123
25	1	2	3
26	1	2	3
27	1	2	3
28	1	2	3
29	1	2	3
30	1	2	3
31	1	2	3
32	1	2	3
33	1	2	3
34	1	2	3
35	1	2	3
36	1	2	3
37	1	2	3
38	1	2	3
39	1	2	3
40	1	2	3
41	1	2	3
42	1	2	3
43	1	2	3
44	1	2	3
45	1	2	3
46	1	2	3
47	1	2	3
48	1	2	3
